utc,total_pct,java_cores,other1,other1_cores,other2,other2_cores,other3,other3_cores
03:09:46,37.8,1.55,dwm#1,8.01,nvcontainer#3,1,L-Connect-Service,0.36
03:09:57,36.5,1.33,dwm#1,8.17,nvcontainer#3,0.73,WmiPrvSE,0.5
03:10:07,38.8,1.87,dwm#1,8.09,L-Connect-Service,0.67,node#1,0.44
03:10:18,31.9,0.5,dwm#1,8,WmiPrvSE#1,0.23,vlc,0.13
03:10:29,34.6,1.2,dwm#1,8.26,WmiPrvSE,0.26,WmiPrvSE#1,0.26
03:10:39,28.4,0.23,dwm#1,8.03,L-Connect-Service,0.41,WmiPrvSE#1,0.23
03:10:50,28.7,0.46,dwm#1,8.13,vmmemWSL,0.32,WmiPrvSE#1,0.23
03:11:00,28.8,0.18,dwm#1,7.97,L-Connect-Service,0.54,WmiPrvSE#1,0.27
03:11:11,46.3,0.77,dwm#1,7.92,vmmemWSL,2.06,svchost#1,0.36
03:11:21,30.4,0.32,dwm#1,8.1,L-Connect-Service,0.46,claude,0.27
03:11:32,30.1,0.51,dwm#1,8.14,WmiPrvSE#1,0.28,claude,0.23
03:11:43,34.4,0.5,dwm#1,8.15,nvcontainer#3,1,WmiPrvSE#1,0.22
03:11:53,31,0.37,dwm#1,8.08,L-Connect-Service,0.46,WmiPrvSE#1,0.23
03:12:04,32.4,0.56,dwm#1,8.13,vmmemWSL,1.21,WmiPrvSE#1,0.23
03:12:14,32.4,0.23,dwm#1,8.1,L-Connect-Service,0.69,Docker Desktop#4,0.32
03:12:25,54,4.25,dwm#1,7.83,claude#2,0.67,EpicGamesLauncher,0.31
03:12:36,39.9,1.8,dwm#1,8.1,nvcontainer#3,0.97,svchost#76,0.27
03:12:46,44.3,1.65,dwm#1,7.76,System,1.14,powershell#8,0.87
03:12:57,35.9,1.92,dwm#1,8.08,WmiPrvSE#1,0.26,System,0.17
03:13:07,37.5,0.45,dwm#1,8.08,L-Connect-Service,0.68,WmiPrvSE#1,0.27
03:13:18,31.8,0.52,dwm#1,7.97,nvcontainer#3,0.37,WmiPrvSE#1,0.18
03:13:29,31.3,0.28,dwm#1,7.97,L-Connect-Service,0.37,WmiPrvSE#1,0.23
03:13:39,28.2,0.27,dwm#1,8.21,WmiPrvSE#1,0.23,System,0.13
03:13:50,27.6,0.13,dwm#1,8.08,vmmemWSL,0.27,WmiPrvSE#1,0.22
03:14:00,30.4,0.65,dwm#1,8.13,L-Connect-Service,0.51,WmiPrvSE#1,0.32
03:14:11,49.8,0.78,dwm#1,8.16,vmmemWSL,2.5,nvcontainer#3,1.02
03:14:22,28.2,0.27,dwm#1,7.94,WmiPrvSE#1,0.22,L-Connect-Service,0.18
03:14:32,35.6,0.65,dwm#1,7.9,nvcontainer#3,0.94,L-Connect-Service,0.32
03:14:43,36.6,0.5,dwm#1,8.04,vmmemWSL,1.59,com.docker.backend#1,0.27
03:14:53,32.5,0.54,dwm#1,8.18,L-Connect-Service,0.63,vmmemWSL,0.27
03:15:04,35.7,0.18,dwm#1,8.04,vmmemWSL,1.84,com.docker.backend#1,0.28
03:15:15,56.2,4.31,dwm#1,7.79,Docker Desktop#4,1.45,System,0.83
03:15:25,41.9,3.62,dwm#1,8.27,L-Connect-Service,0.4,System,0.31
03:15:36,41.4,2,dwm#1,7.97,System,0.5,MsMpEng,0.27
03:15:47,60.3,10.57,dwm#1,7.74,node#1,0.36,WmiPrvSE#1,0.22
03:15:57,30.5,0.28,dwm#1,7.98,L-Connect-Service,0.47,svchost#76,0.28
03:16:08,29.1,0.4,dwm#1,8.37,System,0.31,WmiPrvSE#1,0.22
03:16:19,32.4,0.13,dwm#1,8.19,L-Connect-Service,0.65,System,0.27
03:16:29,30.5,0.47,dwm#1,8.43,vmmemWSL,0.23,WmiPrvSE#1,0.23
03:16:40,30.3,0.27,dwm#1,8.36,vlc,0.36,L-Connect-Service,0.27
03:16:50,26.2,0.32,dwm#1,8.2,WmiPrvSE#1,0.28,dwm,0.14
03:17:01,30.2,1.24,dwm#1,8.04,WmiPrvSE#1,0.23,CefSharp.BrowserSubprocess#6,0.13
03:17:11,41.9,0.35,dwm#1,7.97,vmmemWSL,1.74,L-Connect-Service,0.58
03:17:22,31.2,0.58,dwm#1,7.86,vmmemWSL,0.36,WmiPrvSE#1,0.22
03:17:33,32.9,0.49,dwm#1,7.97,L-Connect-Service,0.45,claude#2,0.31
03:17:43,40.1,0.41,dwm#1,7.92,vmmemWSL,1.96,com.docker.backend#1,0.32
03:17:54,30.2,0.13,dwm#1,7.94,WmiPrvSE#1,0.22,System,0.18
03:18:04,56.2,4.96,dwm#1,7.86,vmmemWSL,2.66,System,0.36
03:18:15,38.4,1.34,dwm#1,8.14,Docker Desktop#4,1.01,WmiPrvSE#1,0.23
03:18:26,45.4,3.21,dwm#1,8.08,L-Connect-Service,0.75,node#1,0.4
03:18:36,40.1,3.74,dwm#1,7.93,WmiPrvSE#1,0.27,System,0.13
03:18:47,27.9,0.18,dwm#1,8.13,vmmemWSL,0.46,WmiPrvSE#1,0.23
03:18:57,36.7,0.46,dwm#1,8.15,L-Connect-Service,0.27,WmiPrvSE#1,0.27
03:19:08,38.5,0.33,dwm#1,8.15,claude,0.37,EpicGamesLauncher,0.37
03:19:18,30.6,0.14,dwm#1,8.01,L-Connect-Service,0.57,steamwebhelper#2,0.42
03:19:29,32.4,0.23,dwm#1,8.36,WmiPrvSE#1,0.23,EpicGamesLauncher,0.14
03:19:40,34.8,0.33,dwm#1,8.18,L-Connect-Service,0.61,WmiPrvSE#1,0.23
03:19:50,31.1,0.51,dwm#1,8.09,vmmemWSL,0.32,WmiPrvSE#1,0.23
03:20:01,31.6,1,dwm#1,8.18,L-Connect-Service,0.5,WmiPrvSE#1,0.27
03:20:11,44.7,0.45,dwm#1,8.26,vmmemWSL,2.61,msedge#35,0.9
03:20:22,32.1,0.38,dwm#1,8.41,L-Connect-Service,0.38,WmiPrvSE,0.28
03:20:32,26.6,0.32,dwm#1,8.19,WmiPrvSE#1,0.23,svchost#14,0.13
03:20:43,33,0.33,dwm#1,8.33,WmiPrvSE,0.28,node#1,0.28
