utc,total_pct,java_cores,other1,other1_cores,other2,other2_cores,other3,other3_cores
13:02:29,39.9,1.95,dwm#1,7.95,L-Connect-Service,0.65,WmiPrvSE#1,0.34
13:02:40,38.4,3.46,dwm#1,7.77,WmiPrvSE#1,0.35,MsMpEng,0.15
13:02:51,46.2,3.13,dwm#1,7.78,vmmemWSL,0.78,WmiPrvSE#1,0.35
13:03:02,71.8,12.72,dwm#1,8.11,L-Connect-Service,0.71,WmiPrvSE#1,0.37
13:03:12,31.5,1.4,dwm#1,8.03,WmiPrvSE#1,0.38,System,0.11
13:03:23,36.1,0.24,dwm#1,7.85,vmmemWSL,0.92,WmiPrvSE#1,0.36
13:03:34,33,0.39,dwm#1,8.2,vmmemWSL,1.02,WmiPrvSE#1,0.35
13:03:45,40.7,0.07,dwm#1,7.98,L-Connect-Service,0.58,vmmemWSL,0.54
13:03:55,30.6,0,dwm#1,8.04,WmiPrvSE#1,0.32,vmmemWSL,0.2
13:04:06,53.4,0.19,dwm#1,7.99,MsMpEng,0.87,System,0.67
13:04:17,36.7,0.39,dwm#1,8.13,L-Connect-Service,0.55,WmiPrvSE#1,0.39
13:04:28,35.6,0.23,dwm#1,7.67,L-Connect-Service,0.54,WmiPrvSE#1,0.42
13:04:38,28.8,0.11,dwm#1,8.06,WmiPrvSE#1,0.35,MsMpEng,0.27
13:04:49,28.4,0.23,dwm#1,8.21,WmiPrvSE#1,0.35,vmmemWSL,0.19
13:05:00,30.8,0.44,dwm#1,7.96,L-Connect-Service,0.48,WmiPrvSE#1,0.36
13:05:11,30.8,0.24,dwm#1,8.08,WmiPrvSE#1,0.32,L-Connect-Service,0.24
13:05:21,33.1,0.27,dwm#1,7.96,vmmemWSL,0.75,WmiPrvSE#1,0.35
13:05:32,41.5,0.95,dwm#1,8.01,WmiPrvSE#1,0.35,vmmemWSL,0.31
13:05:43,34.4,0.84,dwm#1,7.94,L-Connect-Service,0.72,vmmemWSL,0.52
13:05:54,40.6,0.75,dwm#1,7.87,vmmemWSL,2.84,WmiPrvSE#1,0.31
13:06:04,35.8,0.84,dwm#1,7.9,vmmemWSL,0.88,WmiPrvSE#1,0.34
13:06:15,36.2,2.41,dwm#1,7.83,WmiPrvSE#1,0.38,vmmemWSL,0.27
13:06:26,36.8,1.21,dwm#1,7.88,Docker Desktop#4,1.1,L-Connect-Service,0.53
13:06:37,33.3,1.07,dwm#1,7.94,L-Connect-Service,0.43,WmiPrvSE#1,0.31
13:06:47,32.1,1.13,dwm#1,8.03,svchost#76,0.44,WmiPrvSE#1,0.32
13:06:58,36.4,1.16,dwm#1,7.98,WmiPrvSE#1,0.38,WmiPrvSE,0.19
13:07:09,34.2,1.27,dwm#1,7.97,L-Connect-Service,0.67,WmiPrvSE#1,0.35
13:07:20,31.7,0.99,dwm#1,7.91,WmiPrvSE#1,0.31,vmmemWSL,0.23
13:07:30,32.7,1.01,dwm#1,8.13,WmiPrvSE#1,0.39,WmiPrvSE,0.07
13:07:41,29.8,1.21,dwm#1,8.19,WmiPrvSE#1,0.35,L-Connect-Service,0.31
13:07:52,39.6,1.24,dwm#1,8.02,vmmemWSL,1.32,L-Connect-Service,0.7
13:08:03,36.2,1.1,dwm#1,8.28,svchost#43,0.99,WmiPrvSE#1,0.39
13:08:13,30,1.02,dwm#1,7.91,WmiPrvSE#1,0.35,WmiPrvSE,0.11
